처리상황단계내용,적용분야내용,개인정보유형내용,코드제목,주제내용,문제상황내용,질문,해결방법내용,결론내용,유사사례내용,faq식별자,최종수정년월일시,조회수,임시
제공,인사업무 분야,일반정보,직원채용 합격자 발표 시 개인정보 공개는 어디까지?,합격자 발표 시 공개할 수 있는 개인정보의 범위,"우리 회사는 홈페이지를 이용하여 채용전형과정에서 각 단계별 합격자를 발표하고 있습니다. 합격자 발표 시 입사지원자의 성명과 생년월일이 함께 홈페이지에 공개됩니다. 그런데 입사지원자 중 한명이 자신의 개인정보가 유출되었다며, 합격자 목록에 기재된 자신의 성명과 생년월일을 삭제해 달라고 요청하였습니다.",합격자를 발표하는 경우 개인정보 공개 범위가 어떻게 되는지요?,"합격자의 성명과 생년월일은 입사를 지원한 회사의 정보와 연계되어 개인을 알아볼 수 있으므로 개인정보에 해당되며 합격자의 성명과 생년원일을 홈페이지에 공개하는 것은 개인정보의 제3자 제공에 해당됩니다. 이 경우 합격자의 동의가 있거나 법령의 근거가 있는 경우에 합격자의 성명과 생년월일 등을 공개할 수 있습니다. 따라서, 당사자에게 직접 통보가 될 수 있도록 전화, 이메일 등을 활용하여 발표하거나, 홈페이지를 통하여 발표를 하는 경우에도 비밀번호 등으로 본인만 확인할 수 있는 방법을 제공하는 것이 바람직합니다. 불가피하게 홈페이지에 합격자 명단을 공개해야 하는 경우에는 지원자 본인만 확인할 수 있도록 응시번호 또는 수험번호만 기재하거나 성명의 일부분을 홍＊동(1977. 7. 7)처럼 마스킹 처리하는 것이 바람직합니다.",합격자 발표를 홈페이지를 통해 하는 경우 응시번호 또는 수험번호만 기재하거나 성명의 일부분을 홍＊동(1977. 7. 7)처럼 마스킹 처리하는 것이 바람직합니다.,"FAQ_0000000000000734,FAQ_0000000000000768,FAQ_0000000000000818",FAQ_0000000000000795,2013-10-11 20:55:45,4663,제공
수집·이용,금융 분야,일반정보,개인정보 처리동의가 있어야 보험금 지급이 가능하다?,보험금 청구를 위한 개인 신용정보 처리 동의,"고객이 보험계약을 체결할 때 계약과 관련한 개인정보처리에 대하여 동의를 하였습니다. 보험회사는 보험계약 체결시 동의를 받았음에도 불구하고, 고객이 보험금을 청구하는 경우에 ‘보험금 청구를 위한 개인(신용)정보처리동의서’를 별도로 받고 있습니다.",보험금 청구를 위한 개인정보 처리동의를 하지 않은 경우 보험료를 지급하는 것은 위법 인가요 ?,"원칙적으로 개인정보처리자가 정보주체의 동의를 받아 개인정보를 수집·이용하지만, 계약체결 및 이행을 위해 불가피한 경우 정보주체의 동의없이 개인정보를 수집·이용할 수 있습니다. 일반적으로 보험금 지급은 보험계약에 포함됩니다. 따라서 보험회사는 보험계약 체결시 수집한 개인정보를 보험금 지급을 위해 이용할 수 있으므로, 고객의 동의는 필요하지 않습니다.","보험계약을 체결할 때 고객으로부터 개인정보처리에 대한 동의를 이미 받았다면, 해당고객이 보험금 청구시 추가적으로 동의를 받아야 할 필요는 없습니다",FAQ_0000000000000806,FAQ_0000000000000751,2013-10-16 11:59:39,3003,수집·이용
CCTV,공통분야,영상정보,주차장 CCTV 영상 확인도 개인정보침해?,CCTV에 녹화된 영상 열람 요청,"주차장 입구에 범죄예방이나 시설안전의 목적으로 CCTV를 설치·운영한다는 안내판을 보았습니다. 주차장에 차를 주차하고 볼일을 본 후 돌아와 보니 제 차에 흠집이 나 있었습니다. 주차장 내부 곳곳에 CCTV가 설치되어 있어, 제가 없는 동안 CCTV를 통해 찍힌 영상을 확인하고 싶습니다.",주차장 관리인에게 CCTV에 녹화된 영상자료를 바로 요청할 수 있을까요?,"정보주체는 자신의 영상정보를 열람 청구하여 확인할 수 있으며, 타인이 포함된 영상정보는 해당 영상정보주체의 주소 불명 등으로 동의를 얻을 수 없는 경우로 정보주체의 급박한 생명, 신체, 재산상 이익을 위하여 필요한 경우에 한해서 열람할 수 있습니다. 다만, 그 범위는 필요 최소한도로 제한되며, 영상정보처리기기운영자나 개인정보처리자는 관련 영상을 먼저 확인한 후 해당 부분에 대해서만 열람시켜주는 것이 바람직합니다.",차량이 주차되어 있던 시간에 한하여 차량파손을 확인하는데 필요한 파손된 차량주변이 찍힌 영상정보 열람을 요청할 수 있습니다.,,FAQ_0000000000000741,2013-10-14 17:23:58,4222,CCTV
파기,공통분야,일반정보,사이트 회원 탈퇴해도 개인정보는 남아있다?,온라인 사이트 회원 탈퇴 시 개인정보 삭제,"1년 전 00동호회 홈페이지에 회원가입을 하였고, 게시판에 글을 올리기도 했습니다. 최근 들어 00동호회를 거의 찾지 않게 되어 회원탈퇴하기로 결심하고, 인터넷에서 회원탈퇴를 하였습니다. 사이트 가입약관에 따르면 ‘탈퇴 시 즉시 개인정보는 자동으로 파기’한다고 되어 있는데, 탈퇴한 이후에도 00동호회에서 각종 안내메일이 오고 있습니다. 이는 인터넷 시스템에서 탈퇴회원의 개인정보가 파기되지 않고 그대로 저장·이용되고 있기 때문인 것으로 판단됩니다.",회원탈퇴 후에도 동호회에서 안내메일과 SMS를 보내는 경우 개인정보 보호법 위반이 아닌가요?,"개인정보처리자(00동호회)는 보유기간의 경과, 개인정보의 처리목적 달성 등 그 개인정보가 불필요하게 되었을 때에는 개인정보보호법 제21조제1항에 따라 지체 없이 해당 개인정보를 파기하여야 합니다. 약관에서 회원탈퇴 즉시 자동 파기하도록 하고 있는 바, 동호회 회원이 회원 탈퇴를 한 경우 보유기간이 경과하고 개인정보처리목적을 달성한 경우이므로 복원이 불가능하도록 영구 삭제하는 방법으로 파기하여야 합니다.",약관에서 회원탈퇴 즉시 자동 파기하도록 하고 있으므로 파기하지 않고 안내메일과 SMS를 보내는 것은 개인정보보호법 위반입니다,FAQ_0000000000000769,FAQ_0000000000000748,2013-10-07 11:24:06,3831,파기
수집·이용,교육 분야,일반정보,"학교 홈페이지에 학생들의 수상내역 게시, 동의가 필요하다?",사진과 수상내역 홈페이지 공개,"학생들이 경시대회 등에서 수상을 하는 경우 수상 정보 및 개인정보(학년, 반, 성명)를 홈페이지에 공개하고, 학교에서 각종 행사를 진행하면서 학부모나 외부에 알리기 위해 사진을 홈페이지에 공개하고 있습니다. 그런데, 일부 교사들은 이렇게 공개를 하는 행위가 개인정보보호법에 위반된다고 합니다.",학생의 수상 정보와 사진을 홈페이지에 공개하는 것이 개인정보보호법에 위반되나요?,"학교에서 교육기본법 및 초중등교육법 등 관련 법령을 준수하기 위하여 불가피한 경우 개인정보를 수집하여 이용하는 것은 학생이나 부모님의 동의가 필요하지 않습니다. 그러나 학생의 수상 정보와 사진을 홈페이지에 공개하는 것은 관련 법령을 준수하기 위하여 불가피한 경우에 해당한다고 보기에는 어렵습니다. 아울러, 학교에서는 원활한 학교 행정을 위하여 학기 초, 학년 초, 입학 시 정보주체에게 알려야 할 사항을 명시하고 각각의 사안별로 동의를 선택하도록 하는 경우라면 일괄동의가 가능할 것입니다.",학생의 개인정보를 홈페이지 등을 통해 불특정 다수에게 공개하는 경우는 정보주체인 학생 본인 또는 그 법정대리인의 동의를 받아야 합니다.,"FAQ_0000000000000791,FAQ_0000000000000817",FAQ_0000000000000773,2013-10-02 11:26:24,6608,수집·이용
수집·이용,공통분야,일반정보,동의 없이 고객 정보 수정이 가능하다?,전화기에 표시되는 발신번호를 이용하여 고객 전화번호 수정 가능 여부,"고객으로부터 개인정보 수집 및 활용에 대한 동의를 받아 개인정보를 수집 및 이용하고 있습니다. 고객의 전화번호가 변경된 경우에는 고객이 직접 회사에 고객정보 정정을 요청하여야 원활한 서비스 제공과 고객 상담이 이루어지는데, 회사에 연락하여 자신의 정보를 정정하는 고객은 극히 소수에 불과하여 고객과의 연락이 원활이 이루어지지 않고 있습니다. 이에 회사는 발신번호가 표시되는 전화기를 이용하여, 전화기에 표시되는 고객의 발신번호가 등록된 전화번호와 다른 경우에는 고객정보를 수정하려고 합니다.",개인정보의 수집 및 활용에 동의한 고객의 전화번호를 현행화하기 위하여 수정하는 경우 다시 동의를 받아야 하나요?,"개인정보처리자(회사)는 정보주체의 동의가 있는 경우 개인정보를 수집하여 이용할 수 있습니다. 또한 개인정보보호법에 따라 개인정보처리자는 처리 목적에 필요한 범위에서 개인정보의 정확성·완전성·최신성이 보장되도록 하여야 합니다. 다만, 전화기에 표시되는 발신번호가 고객이 실제 사용하는 전화번호와 다를 수 있으므로 해당 고객에게 전화번호의 변경 여부를 확인한 후 향후 변경된 전화번호로 수정하겠다는 것을 알려야 할 것입니다.","개인정보처리자가 발신번호 표시 기능을 이용하여 고객의 전화번호를 현행화하여 관리하는 경우 해당 고객의 동의를 받을 필요는 없으나, 정보주체(고객)에게 이를 알려야 합니다.",FAQ_0000000000000757,FAQ_0000000000000792,2013-10-11 19:13:24,3620,수집·이용
"열람, 정정, 삭제",금융 분야,일반정보,보험회사의 개인정보는 삭제되지 않는다?,개인정보의 삭제 요청 방법,"몇 년 전 보험회사에서 무료로 자동차 점검을 해주겠다고 하여 차주 및 운전자의 주민등록번호, 성명, 연락처 등을 알려줬습니다. 자동차 점검을 받고 난 이후 보험회사에서 전화와 문자메시지를 통해 보험 상품 소개와 가입안내를 지속적으로 해오고 있습니다. 보험회사에 연락하여 이미 다른 자동차보험에 가입하였으니, 보유하고 있는 개인정보를 삭제해 달라고 요청하였고, 보험회사에서는 삭제는 할 수가 없고 대신 연락이 가지 않도록 조치를 취해준다고 했습니다. 그러나 삭제요청 이후 몇 개월이 지난 후에 여전히 자동차 보험이 만기되었다며 보험 가입을 안내하는 전화가 왔습니다.",보험회사가 보유하고 있는 나의 개인정보를 삭제하도록 요청할 수 있나요?,"개인정보보호법에 따라 정보주체는 자신의 개인정보 처리 여부를 확인하고 열람, 처리정지, 정정 및 삭제를 요청할 권리가 있으며, 다른 법령에 따라 보존해야 하는 경우가 아니라면 정보주체의 요청이 있는 경우, 개인정보처리자(보험사)는 삭제 등의 필요한 조치를 하여야 합니다.만약 보험회사에서 고객의 요청에도 불구하고 계속적으로 마케팅을 진행하고 개인정보를 삭제하지 않는 경우에는 개인정보침해신고센터로 신고할 수 있습니다.","개인정보의 열람, 처리정지, 정정 및 삭제 요청은 개인정보보호법 시행규칙 제8호서식인 ‘개인정보 열람, 정정·삭제, 처리정지 요구서’를 작성하여 보험회사에 제출하시면 됩니다.",FAQ_0000000000000782,FAQ_0000000000000771,2013-10-16 11:48:14,2752,"열람, 정정, 삭제"
CCTV,주택관리 분야,영상정보,CCTV 설치 시 안내판은 필수?,CCTV 안내판 부착 의무,"제가 소유한 건물의 상가 및 주차장 등에서 도난사고나 시설물 훼손 행위가 자주 발생하고 있어 CCTV를 설치하려고 합니다. 개인정보보호법에 따라 공개된 장소에 범죄예방 및 시설안전의 목적으로 CCTV를 설치할 수 있다는 것을 확인하였고, CCTV를 설치할 경우 안내판을 부착해야 한다는 내용을 보았습니다.","CCTV를 설치할 경우 안내판을 어디에 부착해야 하며, 안내판에 기재할 사항이나 별도의 안내판 규격이 정해져 있는지요?","공개된 장소에 CCTV를 설치하는 경우 설치 목적 및 장소, 촬영 범위 및 시간, 관리책임자의 성명 및 연락처 등이 기재된 안내판을 부착하여야 합니다. 안내판은 촬영범위 내에서 정보주체가 알아보기 쉽게 설치하면 되고 별도의 규격이 정해져 있지는 않습니다.건물 안에 여러 개의 CCTV를 설치하는 경우에는 각각의 CCTV마다 안내판을 부착할 필요는 없으며, 출입구 등 잘 보이는 곳에 해당 시설 또는 장소 전체가 CCTV 설치지역임을 표시하는 안내판을 설치할 수 있습니다.","안내판에 대한 별도 규격은 정해져 있지 않으나, 촬영범위 내에서 정보주체가 알아보기 쉬운 장소에 설치하고 정보주체가 손쉽게 인식할 수 있는 크기로 설치해야 합니다.","FAQ_0000000000000736,FAQ_0000000000000739",FAQ_0000000000000766,2013-10-11 20:45:57,3339,CCTV
위탁,의료 분야,민감정보,의료기관이 외부 검사기관에 환자의 개인정보도 제공?,개인정보 제3자 제공 또는 개인정보처리업무의 위탁 여부,"의료기관에서 입원 및 외래 환자의 정확한 검사를 위해 전문검사기관에 환자의 검사를 의뢰할 때 검사대상물과 환자의 개인정보를 전문검사기관에 제공하고, 전문검사기관은 검사결과를 의료기관에 회신하여 줍니다.",의료기관이 외부 검사기관에게 검사를 의뢰하면서 환자의 개인정보를 제공하는 것은 개인정보의 제3자 제공에 해당되는지 아니면 개인정보처리업무의 위탁에 해당하는지요?,"개인정보의 제3자 제공은 제3자의 이익 또는 제3자의 업무를 처리할 목적을 위한 것이고, 개인정보가 제3자에게 제공된 이후에는 제3자가 자신의 책임 하에 개인정보를 처리합니다. 반면, 개인정보처리업무의 위탁은 개인정보처리자의 업무를 처리할 목적으로 개인정보가 수탁자에게 이전되고, 위탁 후 수탁자는 여전히 위탁자인 개인정보처리자의 관리·감독을 받습니다. 환자의 검사는 의료기관에서 수행되어야 하지만, 장비 및 인력 등의 이유로 외부 검사기관에 환자의 검사물과 개인정보를 제공하여 검사를 진행하는 것으로 개인정보처리가 수반되는 업무위탁에 해당합니다.개인정보처리업무를 위탁하는 경우에는 위탁업무 수행 목적 외 개인정보의 처리 금지에 관한 사항, 개인정보의 기술적·관리적 보호조치에 관한 사항, 위탁업무의 목적 및 범위, 재 위탁 제한에 관한 사항, 개인정보의 관리 현황 등 감독에 관한 사항이 포함된 문서에 의하여야 하며, 위탁자는 위탁하는 업무의 내용과 수탁자를 인터넷 홈페이지에 지속적으로 공개하여야 합니다.",환자의 검사를 의료기관에서 직접 수행하지 않고 외부 검사기관에 환자의 검사물과 개인정보를 제공하여 검사를 진행하는 것은 개인정보처리가 수반되는 업무위탁에 해당합니다.,FAQ_0000000000000774,FAQ_0000000000000760,2013-10-16 11:45:50,3635,위탁
제공,공통분야,일반정보,자격증 진위여부를 확인하기 위한 개인정보 제공은 가능?,자격증 진위여부를 확인해주기 위한 개인정보 제공 요청,"A기관은 법률에 근거하여 자격증명시험 업무와 자격증명서 발급 업무를 수행하고 있으며, B기관은 법률에 근거하여 자격검정업무와 자격증 발급에 관한 업무를 수행하고 있습니다. B기관은 A기관에서 수행하는 자격증 취득자에 한하여 자격검정과목 일부를 면제하고 있습니다. 이를 위하여 B기관은 자격검정 대상자가 자격증을 보유하고 있는지와 자격증의 진위여부에 대한 확인을 A기관에 요청하였습니다.",A기관은 B기관의 요청에 따라 A기관에서 발급한 자격증취득자의 자격증 진위여부를 확인해 줄 수 있나요?,"A기관은 법에 근거하여 자격증명시험과 시험합격자의 자격증명서 발급 등에 관한 사무를 수행하고 있는데, 자격검정과목 면제를 위하여 자격증명서의 진위 여부를 확인하여 B기관에 알려주는 것은 A기관의 소관업무에 해당합니다.",개인정보보호법 제17조제1항제2호에 따라 법령에서 정한 소관업무 수행을 위하여 A기관은 자격증취득자의 동의 없이 기술자격검정 과목 면제에 필요한 자격증 진위여부를 B기관에 확인하여 줄 수 있습니다.,"FAQ_0000000000000717,FAQ_0000000000000726,FAQ_0000000000000728,FAQ_0000000000000731,FAQ_0000000000000800",FAQ_0000000000000813,2013-10-11 19:26:35,2844,제공
수집·이용,공통분야,고유식별정보,기부금 영수증 발급 시 개인정보 이용?,기부금 영수증 발급을 위해 주민등록번호를 수집하는 경우,저희 단체는 기부자들의 기부금으로 소년소녀가장을 돕고 있습니다. 최근 기부자들로부터 연말정산에 활용할 ‘기부금 영수증’ 발급 요청이 많이 들어옵니다. ‘기부금 영수증’을 발급하려면 기부자의 성명과 주민등록번호 등 개인정보가 필요합니다.,기부금영수증 발급을 위하여 기부자의 개인정보를 이용할 수 있나요?,"개인정보 보호법은 법령에 따라 개인을 고유하게 구별하기 위하여 부여된 식별정보(주민등록번호, 여권번호, 운전면허번호, 외국인등록번호)를 ‘고유식별정보’로 분류하고 있습니다. ‘고유식별정보’는 정보주체의 별도 동의를 받거나 법령에서 구체적으로 처리를 요구·허용한 경우에만 처리할 수 있습니다.「소득세법」은 사업자가 지출한 기부금에 관한 규정을 두고 있고(제34조), 동법 시행규칙은 ‘기부금 영수증’ 서식을 규정하고 있습니다(별지 제45호의2 서식). 여기에는 기부자의 성명 및 주민등록번호를 기재하도록 하고 있습니다.",기부금 영수증의 주민등록번호 기재는 소득세법 및 동법 시행규칙 별지 서식에 따라 정보주체 별도 동의 없이도 처리가 가능합니다.,,FAQ_0000000000000719,2013-10-01 17:57:07,5522,수집·이용
처리방침,공통분야,일반정보,개인정보보호규정 내부관리계획 마련되어야 한다?,개인정보보호규정과 내부관리계획의 관계,"A사는 서비스 품질향상을 위하여 회원제를 도입하고 회원가입 시 고객의 성명, 전화번호, 전자우편주소를 수집하여 관리하고 있습니다. 아울러, 직원과 회원의 개인정보를 보호하기 위하여 개인정보보호에 관한 회사규칙을 마련하였습니다. 그런데 개인정보보호법에 따라 개인정보처리자는 개인정보보호를 위한 내부관리계획을 수립하여야 한다고 합니다.",개인정보보호에 관한 사항을 회사규칙으로 마련한 경우에도 개인정보보호법에 따른 내부관리계획을 별도로 마련해야 하는지요?,"개인정보보호법 제29조에 따라 개인정보처리자(A사)는 개인정보가 분실·도난·유출·변조 또는 훼손되지 않도록 내부관리계획(개인정보 보호책임자의 지정에 관한 사항, 개인정보 보호책임자 및 개인정보 취급자의 역할 및 책임에 관한 사항, 개인정보의 안전성 확보에 필요한 조치에 관한 사항, 그 밖에 개인정보 보호를 위하여 필요한 사항)을 수립해야 합니다.","회사규칙에 내부관리계획에 포함되어야 하는 내용(개인정보 보호책임자의 지정에 관한 사항, 개인정보 보호책임자 및 개인정보 취급자의 역할 및 책임에 관한 사항, 개인정보의 안전성 확보에 필요한 조치에 관한 사항, 그 밖에 개인정보 보호를 위하여 필요한 사항)이 모두 포함되어 있다면 별도의 내부관리계획을 마련하지 않아도 됩니다",,FAQ_0000000000000816,2013-10-02 14:15:01,4644,처리방침
제공,교육 분야,일반정보,학생의 징계처분 내용을 교내 게시판에 공개해도 된다?,학칙에 따라 징계처분 한 내용 공개 가능 여부,"우리 학교는 학생이 중대한 잘못을 한 경우 학칙에 따라 교내 징계위원회를 소집하고, 징계 처분한 내용을 공개하도록 하고 있습니다. 최근 몇 명의 학생이 불미스러운 일에 연루되어 교내 징계위원회가 소집되었고 해당 학생들에 대한 징계처분이 이루어 졌습니다. 이에 따라 학교에서는 학생의 성명, 소속, 징계처분의 내용을 교내 게시판을 통해 공개하려고 하는데 일부 교사들이 개인정보보호법에 위반 될 수 있다고 반대를 하고 있습니다.",학생의 징계처분 내용을 교내 게시판에 공개하는 것이 개인정보보호법에 저촉되는 것인지요?,개인정보를 제3자에게 제공하기 위해서는 다른 법률에 특별한 규정이 있거나 해당 정보주체인 학생(학생이 만 14세 미만인 경우에는 법정대리인)의 동의를 받아야 합니다. 아울러 가급적 인권침해 우려가 있는 사항에 대하여는 불특정 다수에게 공개하지 않는 것이 바람직할 것으로 판단됩니다.,"징계 받은 학생의 성명, 소속, 징계처분의 내용은 개인을 식별할 수 있는 개인정보에 해당하고, 교내 게시판을 통해 게시하는 행위는 개인정보의 제3자 제공에 해당하므로 해당학생, 법정대리인의 동의를 받아야 합니다",FAQ_0000000000000773,FAQ_0000000000000806,2013-10-02 13:57:50,2797,제공
수집·이용,공통분야,일반정보,협회 인명부 개인정보도 동의가 필요하다?,협회에서 인명부 발간 시 개인정보 수집 및 이용,"저희 00협회는 매년 소속 회원사 임직원의 성명, 직위, 연락처, 사진이 포함된 인명부를 제작하여 회원사에게 배포해 왔습니다. 협회에서 회원사 소속 임직원의 개인정보 수집·이용 동의서를 직접 징구하거나, 회원사를 통해 소속 임직원의 개인정보 수집?이용 동의서를 제공받아 인명부를 발간하는 것이 개인정보보호법을 위반하는 것이 아닌지 우려가 됩니다.",협회에서 위의 2가지 방법으로 인명부를 제작·발간하는 것은 개인정보보호법상 문제가 없는지요?,"개인정보보호법 제15조에 따라 개인정보처리자(협회)는 정보주체로부터 동의를 받은 경우 개인정보를 수집하여 이용할 수 있습니다.이 경우 협회는 인명부에 포함되는 회원사 임직원에게 직접 개인정보 수집·이용에 관한 동의서를 징구할 수 있으며, 필요한 경우 회원사가 협회를 대신하여 임직원의 개인정보 수집·이용 동의서를 받아 협회에 제공할 수 있습니다. 다만, 협회 인명부가 홍보 마케팅 등의 용도로 제3자에게 제공되는 경우에는 개인정보 보호법 제18조에 따라 회원사 임직원으로부터 별도의 동의를 받아야 합니다.",협회는 인명부 발간을 위해 인명부에 포함되는 회원사 임직원에게 직접 개인정보 수집·이용에 관한 동의를 받거나 회원사가 협회를 대신하여 임직원의 개인정보 수집·이용 동의를 받은 경우 인명부를 제작·발간할 수 있습니다.,,FAQ_0000000000000756,2013-10-14 17:31:51,2910,수집·이용
위탁,인사업무 분야,인사정보,개인정보처리업무 위탁 시 직원에게 공개해야 한다?,급여 관련 업무위탁 고지,A사는 급여 관련 업무를 외부업체에 위탁하여 처리하고 있으며 급여 관련 업무 수행에 필요한 직원의 개인정보를 수탁자인 외부업체에 제공하고 있습니다.,"A사는 급여 관련 업무가 위탁되어 처리되고 있으며, 직원의 개인정보가 외부업체에 제공된다는 사실을 직원들에게 알려야 하나요?","개인정보보호법 제26조에 따라 개인정보처리자(A사)는 개인정보처리업무의 일부 또는 전부를 위탁할 수 있으며, 위탁업무 수행에 필요한 개인정보를 수탁자에게 제공할 수 있습니다. 따라서 A사는 급여 관련 업무를 외부기관에 위탁하고, 직원의 동의 없이 업무처리에 필요한 직원의 개인정보를 제공할 수 있습니다.","개인정보처리업무를 위탁하는 경우, A사는 위탁하는 업무의 내용과 수탁자를 내부 직원들이 언제든지 쉽게 확인할 수 있도록 내부 인트라넷(사내 망)에 지속적으로 게재하는 방법으로 공개해야 합니다.","FAQ_0000000000000754,FAQ_0000000000000759,FAQ_0000000000000760,FAQ_0000000000000774,FAQ_0000000000000814",FAQ_0000000000000815,2013-10-02 14:13:30,4241,위탁
안전성확보조치,시스템 분야,일반정보,내부 시스템 문제 발생 시 DB암호화 안 해도 된다?,개인정보 암호화의 위험도 분석,회사에서 직원의 인사정보와 고객사의 대표자·업무 담당자 및 고객의 개인정보를 수집하여 업무에 활용하기 위하여 보관하고 있습니다.  개인정보보호법 시행에 따라 DB암호화 등의 처리수단 도입을 위해 테스트를 진행하였으나 데이터가 많은 테이블의 경우 ERP시스템의 DB조회 속도가 현저히 느려지는 현상이 발생하여 더 이상 진행하지 못하고 있습니다.,내부시스템에 문제가 발생하는 경우에도 DB암호화를 해야 하나요?,"개인정보보호법 제29조, 같은 법 시행령 제30조 및 개인정보의 안전성 확보조치 기준 제7조에 따라 ERP 등 내부정보시스템에 고유식별정보를 저장하는 경우, 개인정보 위험도 분석 기준의 26가지 항목을 모두 충족하는 경우에는 암호화 조치를 하지 않을 수 있습니다.",개인정보 위험도 분석 기준에 모두 충족하지 못할 경우에는 DB의 개인정보를 암호화 하여야 합니다.,"FAQ_0000000000000747,FAQ_0000000000000767,FAQ_0000000000000803",FAQ_0000000000000775,2013-10-14 17:39:59,2761,안전성확보조치
제공,공통분야,일반정보,타기관이 대신 받은 개인정보 제공 동의서 명확해야 한다?,다른 기관이 받은 개인정보의 목적 외 이용 동의에 근거한 제공 가능 여부,"A기관은 정보주체로부터 개인정보의 제공에 대한 동의를 받았다는 공문을 B기관에 보내면서 이를 근거로 자료를 제공해 줄 것을 요청하였습니다. 그런데 공문에는 동의한 자가 누구인지, 동의한 내용이 무엇인지 등에 관한 세부적인 내용이 포함되어 있지 않았습니다.",B기관은 ‘개인정보 제3자 제공에 대한 동의를 받았음’이 명시된 공문을 근거로 별다른 확인절차 없이 A기관에게 개인정보를 제공해도 되는지요?,"개인정보보호법에 따라 B기관이 보유하고 있는 개인정보를 A기관에게 제공하기 위해서는 정보주체의 동의를 받아야 합니다. 개인정보 제공에 대한 동의는 원칙적으로 개인정보를 제공하는 B기관이 해당 정보주체로부터 받아 A기관에 제공해야 하지만, 제공하는 B기관과 제공받는 A기관이 상호 합의한 경우 A기관이 대신해서 개인정보 제공에 관한 동의를 받아 B기관에 제출한 후 개인정보를 제공받을 수 있습니다.",B기관은 A기관이 해당 정보주체로부터 개인정보의 제공에 대한 명시적인 동의의 의사표시를 하였는지 여부를 명확하게 확인한 후 제공하여야 합니다.,,FAQ_0000000000000812,2013-10-02 14:08:17,2802,제공
제공,공공기관,일반정보,통계작성을 위한 주민현황 자료도 동의를 받아야 한다?,통계목적으로의 개인정보 제공,"저희 기관은 지역발전을 위한 정책을 수립하고 평가할 수 있도록 기초자료가 되는 통계를 작성하고 있습니다. 통계를 작성하기 위해서는 지방자치단체의 연령별, 출생연도별, 출신지역별 주민현황에 관한 정보가 필요합니다. 해당 지방자치단체에게 이들 자료를 요청하였으나, 개인정보이기 때문에 제공할 수 없다고 합니다.",지방자치단체는 통계작성을 위해 필요한 주민의 현황 자료를 제공할 수 있는지요?,"개인정보 보호법에 따라 개인정보처리자가 제3자에게 개인정보를 제공하기 위해서는 원칙적으로 정보주체의 동의를 받아야 하나, 통계작성 및 학술연구 등의 목적을 위하여 필요한 경우로 특정 개인을 알아볼 수 없는 형태로 처리한 경우에는 동의 없이 제공할 수 있습니다. 통계작성을 위하여 지역주민을 연령, 출생연도, 출신지역 등에 따라 구분지어 조사한 현황은 그 자체로는 개인을 식별할 수 없습니다.","지방자치단체는 통계작성을 위한 경우 지역주민을 알아볼 수 없도록 처리된 연령별, 출생연도별, 출신지역별 주민 현황을 요청기관에 제공할 수 있으며, 주민의 동의는 필요하지 않습니다.",FAQ_0000000000000813,FAQ_0000000000000728,2013-10-01 18:17:49,2408,제공
제공,교육 분야,일반정보,"학력조회 서비스를 통한 제3자 정보제공, 학생 동의 필요?",대학의 학력조회 또는 부서 간 업무 시 개인정보 이용에 대한 학생 동의 필요성,"대학교에서 학사 업무를 수행하기 위해 교내 부서들이 학생의 개인정보를 함께 이용하는데, 주로 편입, 취업 등과 관련하여 다른 국·공립대학 또는 기업이 특정 학생의 학력조회를 요청하는 경우 이에 응하기 위하여 학생의 개인정보를 처리하고 있습니다. 그러나 학력조회 서비스를 제공할 수 있는 법적 근거가 없어 학생의 개인정보 이용·제공 동의서를 받고자 하였으나, 일일이 학생의 동의를 받는 것이 학교업무수행에 상당한 지장을 주고 있습니다. 특히 학기 초에는 학력조회 요청이 많아 다른 업무수행이 곤란할 정도입니다.",대학이 업무목적으로 학생의 개인정보를 교내 부서들이 같이 이용하는 경우에도 학생의 동의를 받아야 하나요? 학력조회 서비스를 통해 국·공립대학 또는 기업 등 제3자에게 학생의 학력정보를 제공하는 경우 학생의 동의가 필요한지요?,"개인정보처리자인 대학교는 학사관리 등을 위해 학생의 동의 없이 개인정보를 수집·이용할 수 있으며, 학교 내부 업무수행을 위한 경우 동의 없이 학교 부서가 함께 학생의 개인정보를 이용할 수 있습니다. 그러나 개인정보보호법은 법령의 근거가 있거나 정보주체의 별도 동의가 있는 경우에만 개인정보를 제3자에게 제공할 수 있도록 하고 있습니다.","개인정보처리자인 대학교는 학사관리 등을 위해 학생의 동의 없이 개인정보를 수집·이용할 수 있으며, 학교 내부 업무수행을 위한 경우 동의 없이 학교 부서가 함께 학생의 개인정보를 이용할 수 있습니다.다만, 학력조회서비스 제공에 대해서는 법적 근거가 없으므로, 대학교는 학생의 개인정보인 학력정보를 국·공립대학과 공유하거나 기업에 제공하기 위해서는 학생으로부터 별도의 동의를 받아야 합니다.",,FAQ_0000000000000808,2013-10-14 18:02:46,3530,수집·이용
